serviceId,slug,name,category,description,basePriceExGst,premiumPriceExGst,durationMinutes,sortOrder
property_condition_report,property-condition-report,Property Condition Report,Inspections,"The service includes visiting the property, conducting a visual inspection, taking photographs, and preparing a standard Property Condition Report using the agreed system or template.",200,120,90,10
routine_inspection,routine-inspection,Routine Inspection,Inspections,"The service includes visiting the property, conducting a visual inspection, taking photographs and notes, and preparing a routine inspection report.",60,40,45,20
exit_inspection,exit-inspection,Exit Inspection,Inspections,"The service includes attending the property, conducting a visual inspection, taking photographs and notes, and preparing an exit inspection report.",150,40,90,30
open_for_inspection,open-for-inspection,Open For Inspection,Leasing,"The service involves attending a scheduled open house for potential tenants and providing confirmation or notes of attendance as needed. Attendance details collected by the attending staff member should be uploaded or entered so the relevant information can flow through Rent On Time automations.",80,40,60,40
insurance_claims_management,insurance-claims-management,Insurance Claims Management,Insurance,"The service provides field support for insurance claims by attending relevant events, taking photographs, making observations, and collating claim support information where approved.",90,50,60,50
maintenance_requests,maintenance-requests,Maintenance Requests,Maintenance,"The service entails coordinating property maintenance tasks, attending to the site, capturing photographic evidence, making observations, and supporting contractor engagement when approved.",80,50,45,60
key_installation,key-installation,Key Installation,Access,"The service involves collecting keys from a designated location, installing or placing a key safe or lockbox as directed, and providing photo confirmation where feasible.",150,70,60,70
